Country,,Children per Women,Fertility,Population,,Year
"Macao, China",,1.4,6.2,6.47,,1992
Madagascar,,6.08,0,10.7,,1992
Malawi,,6.58,0,10.3,,1992
Malaysia,,3.42,19,9.98,,1992
Maldives,,4.99,90.1,10.2,,1992
Mali,,7.12,198,10.7,,1992
Malta,,2,13.1,7.25,,1992
Marshall Islands,,,0,,,1992
Martinique,,1.96,0,7.82,,1992
Mauritania,,5.88,0,10.7,,1992
Mauritius,,2.22,0,9.66,,1992
Mayotte,,5.27,0,11.1,,1992
Mexico,,3.18,0,11.1,,1992
"Micronesia, Fed. Sts.",,4.77,0,10.9,,1992
Moldova,,2.09,0,7.69,,1992
Mongolia,,3.18,0,10.8,,1992
Montenegro,,2.03,0,7.75,,1992
Montserrat,,,0,,,1992
Morocco,,3.6,35.1,10.5,,1992
Mozambique,,6.07,0,10.6,,1992
Myanmar,,3.16,0,10.8,,1992
Namibia,,4.84,0,11.1,,1992
Nauru,,,63.2,,,1992
Nepal,,4.93,0,10.2,,1992
Netherlands,,1.57,7.38,6.17,,1992
Netherlands Antilles,,2.26,0,,,1992
New Caledonia,,2.89,0,10.2,,1992
New Zealand,,2.22,32.2,7.57,,1992
Nicaragua,,4.11,0,11.1,,1992
Niger,,7.74,0,10.2,,1992
Nigeria,,6.35,0,10.6,,1992
Niue,,,0,,,1992
North Korea,,2.2,0,8.46,,1992
North Macedonia,,2.09,46.9,8.01,,1992
Northern Mariana Islands,,,86.3,,,1992
Norway,,1.86,15,6.42,,1992
Oman,,6.1,100,10,,1992
Pakistan,,5.62,0,10,,1992
Palau,,,79,,,1992
Palestine,,6.52,0,10.8,,1992
Panama,,2.91,0,10.5,,1992
Papua New Guinea,,4.7,0,10.8,,1992
Paraguay,,4.28,0,10,,1992
Peru,,3.51,0,10.4,,1992
Philippines,,4.11,0,10.5,,1992
Poland,,1.9,27.7,7.62,,1992
Portugal,,1.47,22.1,7.8,,1992
Puerto Rico,,2.15,75.8,8.71,,1992
Qatar,,3.71,44.3,7.74,,1992
Reunion,,2.4,49.7,9.25,,1992
Romania,,1.51,47.1,8.24,,1992
Russia,,1.37,46.1,6.55,,1992
Rwanda,,6.51,0,11.2,,1992
Samoa,,4.88,0,11,,1992
San Marino,,,1.3,,,1992
Sao Tome and Principe,,5.66,0,11.4,,1992
Saudi Arabia,,5.41,0,9.91,,1992
Senegal,,6.21,0,10.8,,1992
Serbia,,1.95,39,7.63,,1992
Seychelles,,2.51,76.3,10.3,,1992
Sierra Leone,,6.67,0,10.1,,1992
Singapore,,1.74,0,7.21,,1992
Slovak Republic,,1.81,46.3,8.35,,1992
Slovenia,,1.33,16.3,6.96,,1992
Solomon Islands,,5.46,0,11.8,,1992
Somalia,,7.57,0,10.2,,1992
South Africa,,3.29,0,10.1,,1992
South Korea,,1.64,0,9.12,,1992
South Sudan,,6.64,,10.3,,1992
Spain,,1.25,9.03,8.03,,1992
Sri Lanka,,2.35,30.5,9.84,,1992
St. Helena,,,0,,,1992
St. Kitts and Nevis,,,64.7,,,1992
St. Lucia,,3.1,87.5,9.86,,1992
St. Vincent and the Grenadines,,2.81,93.4,11,,1992
Sudan,,5.96,0,10.8,,1992
Suriname,,3.01,0,9.13,,1992
Sweden,,1.98,11,5.86,,1992
Switzerland,,1.53,6.45,5.62,,1992
